----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Material          |Material Description                    |ValA|BUn|From Date |To Date   |Opening Stock|Total Receipt Qties|Total Issue Quantities|Closing Stock|S|          Opening Value|   Total Receipt Values|     Total Issue Values|          Closing Value|Crcy |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 30015046-00010E010|MP(IDEMITSU SN/CF 5W-40 F-S) BULK       |380P|KG |31.03.2026|31.03.2026|         218 |                 0 |                    0 |         218 | |            10,349,986 |             1,654,927 |                     0 |            12,004,913 |VND  |
| 30015046-00030E010|LF(IDEMITSU SN/CF 5W-40 F-S) BULK       |380P|KG |31.03.2026|31.03.2026|         352 |                 0 |                    0 |         352 | |            16,711,904 |             1,102,329 |                     0 |            17,814,233 |VND  |
| 30015078-00010E010|MP(ID. 4T SL/MA 10W-40 S-S) BULK        |380P|KG |31.03.2026|31.03.2026|          48 |                 0 |                    0 |          48 | |             1,571,280 |             1,022,516 |                     0 |             2,593,796 |VND  |
| 30015078-00020E010|CL(ID. 4T SL/MA 10W-40 S-S) BULK        |380P|KG |31.03.2026|31.03.2026|         337 |                 0 |                    0 |         337 | |             7,754,707 |                     0 |               402,375-|             7,352,332 |VND  |
| 30015078-00030E010|LF(ID. 4T SL/MA 10W-40 S-S) BULK        |380P|KG |31.03.2026|31.03.2026|         286 |                 0 |                    0 |         286 | |             9,362,210 |             1,915,853 |                     0 |            11,278,063 |VND  |
| 30015118-7460VE020|IFG5 0W-20 SP/GF-6A 4LX6                |380A|ST |31.03.2026|31.03.2026|           9 |                 0 |                    0 |           9 | |            12,022,731 |             2,777,049 |                     0 |            14,799,780 |VND  |
| 30015118-7460VE020|IFG5 0W-20 SP/GF-6A 4LX6                |380B|ST |31.03.2026|31.03.2026|          13 |                 0 |                    0 |          13 | |            17,366,167 |             3,778,019 |                     0 |            21,144,186 |VND  |
| 30015118-7460VE020|IFG5 0W-20 SP/GF-6A 4LX6                |380C|ST |31.03.2026|31.03.2026|          11 |                 0 |                    0 |          11 | |            14,694,449 |             3,371,712 |                     0 |            18,066,161 |VND  |
| 30015118-7460VE020|IFG5 0W-20 SP/GF-6A 4LX6                |380F|ST |31.03.2026|31.03.2026|           2 |                 0 |                    0 |           2 | |             2,671,718 |               545,114 |                     0 |             3,216,832 |VND  |
| 30015118-7460VE020|IFG5 0W-20 SP/GF-6A 4LX6                |380P|ST |31.03.2026|31.03.2026|           7 |                 0 |                    0 |           7 | |             9,351,013 |             2,055,281 |                     0 |            11,406,294 |VND  |
| 30015166-74600E020|IFG5 5W-30 SP/GF-6A (VN) 4LX6           |380A|ST |31.03.2026|31.03.2026|          59 |                 0 |                    0 |          59 | |            67,253,097 |             8,156,838 |                     0 |            75,409,935 |VND  |
| 30015166-74600E020|IFG5 5W-30 SP/GF-6A (VN) 4LX6           |380B|ST |31.03.2026|31.03.2026|          88 |                 0 |                    0 |          88 | |           100,309,704 |            12,110,498 |                     0 |           112,420,202 |VND  |
| 30015166-74600E020|IFG5 5W-30 SP/GF-6A (VN) 4LX6           |380C|ST |31.03.2026|31.03.2026|          56 |                 0 |                    0 |          56 | |            63,833,448 |             7,750,384 |                     0 |            71,583,832 |VND  |
| 30015166-74600E020|IFG5 5W-30 SP/GF-6A (VN) 4LX6           |380F|ST |31.03.2026|31.03.2026|          12 |                 0 |                    0 |          12 | |            13,678,596 |             1,691,000 |                     0 |            15,369,596 |VND  |
| 30015166-74600E020|IFG5 5W-30 SP/GF-6A (VN) 4LX6           |380P|ST |31.03.2026|31.03.2026|         329 |                 0 |                    0 |         329 | |           375,021,507 |            45,181,667 |                     0 |           420,203,174 |VND  |
| 30015226-00020E010|CL(IFG3 15W-40 SP) BULK                 |380P|KG |31.03.2026|31.03.2026|         304 |                 0 |                    0 |         304 | |             6,995,344 |                     0 |               378,975-|             6,616,369 |VND  |
| 30015226-00030E010|LF(IFG3 15W-40 SP) BULK                 |380P|KG |31.03.2026|31.03.2026|         370 |                 0 |                    0 |         370 | |            12,480,100 |             1,145,832 |                     0 |            13,625,932 |VND  |
| 30015226-2000VE020|IFG3 15W-40 SP (VN) DRUM 200L           |380B|ST |31.03.2026|31.03.2026|           4 |                 0 |                    0 |           4 | |            27,683,296 |             7,226,045 |                     0 |            34,909,341 |VND  |
| 30015226-2000VE020|IFG3 15W-40 SP (VN) DRUM 200L           |380P|ST |31.03.2026|31.03.2026|           1 |                 0 |                    0 |           1 | |             6,920,824 |             2,028,794 |                     0 |             8,949,618 |VND  |
| 30015226-7460VE020|IFG3 15W-40 SP(VN) 4LX6                 |380A|ST |31.03.2026|31.03.2026|         167 |                 0 |                    0 |         167 | |           145,696,979 |            21,496,748 |                     0 |           167,193,727 |VND  |
| 30015226-7460VE020|IFG3 15W-40 SP(VN) 4LX6                 |380B|ST |31.03.2026|31.03.2026|         302 |                 0 |                    0 |         302 | |           263,475,974 |            40,446,952 |                     0 |           303,922,926 |VND  |
| 30015226-7460VE020|IFG3 15W-40 SP(VN) 4LX6                 |380C|ST |31.03.2026|31.03.2026|         180 |                 0 |                    0 |         180 | |           157,038,660 |            23,569,627 |                     0 |           180,608,287 |VND  |
| 30015226-7460VE020|IFG3 15W-40 SP(VN) 4LX6                 |380E|ST |31.03.2026|31.03.2026|          27 |                 0 |                    0 |          27 | |            23,555,799 |             3,846,889 |                     0 |            27,402,688 |VND  |
| 30015226-7460VE020|IFG3 15W-40 SP(VN) 4LX6                 |380F|ST |31.03.2026|31.03.2026|          62 |                 0 |                    0 |          62 | |            54,091,094 |             8,580,724 |                     0 |            62,671,818 |VND  |
| 30015226-7460VE020|IFG3 15W-40 SP(VN) 4LX6                 |380P|ST |31.03.2026|31.03.2026|          34 |                 0 |                    0 |          34 | |            29,662,858 |             4,467,072 |                     0 |            34,129,930 |VND  |
| 30015228-00020E010|CL(IFG3 5W-30 SP/GF-6A) BULK            |380P|KG |31.03.2026|31.03.2026|         278 |                 0 |                    0 |         278 | |             8,439,802 |                     0 |               139,257-|             8,300,545 |VND  |
| 30015228-00030E010|LF(IFG3 5W-30 SP/GF-6A) BULK            |380P|KG |31.03.2026|31.03.2026|         337 |                 0 |                    0 |         337 | |            12,139,751 |             1,225,629 |                     0 |            13,365,380 |VND  |
| 30015228-2000VE020|IFG3 5W-30 SP/GF-6A (VN) D200L          |380A|ST |31.03.2026|31.03.2026|           1 |                 0 |                    0 |           1 | |             7,226,400 |             3,136,561 |                     0 |            10,362,961 |VND  |
| 30015228-2000VE020|IFG3 5W-30 SP/GF-6A (VN) D200L          |380B|ST |31.03.2026|31.03.2026|           2 |                 0 |                    0 |           2 | |            14,452,800 |             6,130,485 |                     0 |            20,583,285 |VND  |
| 30015228-2000VE020|IFG3 5W-30 SP/GF-6A (VN) D200L          |380P|ST |31.03.2026|31.03.2026|           8 |                 0 |                    0 |           8 | |            57,811,200 |            27,588,513 |                     0 |            85,399,713 |VND  |
| 30015228-7460VE020|IFG3 5W-30 SP/GF-6A (VN) 4LX6           |380A|ST |31.03.2026|31.03.2026|         125 |                 0 |                    0 |         125 | |           113,613,625 |            17,760,771 |                     0 |           131,374,396 |VND  |
| 30015228-7460VE020|IFG3 5W-30 SP/GF-6A (VN) 4LX6           |380B|ST |31.03.2026|31.03.2026|         293 |                 0 |                    0 |         293 | |           266,310,337 |            45,369,218 |                     0 |           311,679,555 |VND  |
| 30015228-7460VE020|IFG3 5W-30 SP/GF-6A (VN) 4LX6           |380C|ST |31.03.2026|31.03.2026|          39 |                 0 |                    0 |          39 | |            35,447,451 |             9,705,416 |                     0 |            45,152,867 |VND  |
| 30015228-7460VE020|IFG3 5W-30 SP/GF-6A (VN) 4LX6           |380E|ST |31.03.2026|31.03.2026|          12 |                 0 |                    0 |          12 | |            10,906,908 |             1,150,195 |                     0 |            12,057,103 |VND  |
| 30015228-7460VE020|IFG3 5W-30 SP/GF-6A (VN) 4LX6           |380F|ST |31.03.2026|31.03.2026|          40 |                 0 |                    0 |          40 | |            36,356,360 |             5,908,920 |                     0 |            42,265,280 |VND  |
| 30015228-7460VE020|IFG3 5W-30 SP/GF-6A (VN) 4LX6           |380P|ST |31.03.2026|31.03.2026|         586 |                 0 |                    0 |         586 | |           532,620,674 |            90,734,938 |                     0 |           623,355,612 |VND  |
| 30016887-00010E010|MP(IKC SP/GF-6 0W-20 Mo) BULK           |380P|KG |31.03.2026|31.03.2026|          61 |                 0 |                    0 |          61 | |             3,462,360 |             1,533,863 |                     0 |             4,996,223 |VND  |
| 30016887-00020E010|CL(IKC SP/GF-6 0W-20 Mo) BULK           |380P|KG |31.03.2026|31.03.2026|         295 |                 0 |                    0 |         295 | |            10,717,055 |                     0 |             1,488,665-|             9,228,390 |VND  |
| 30016887-00030E010|LF(IKC SP/GF-6 0W-20 Mo) BULK           |380P|KG |31.03.2026|31.03.2026|         253 |                 0 |                    0 |         253 | |            14,360,280 |             1,751,772 |                     0 |            16,112,052 |VND  |
| 30016888-00020E010|CL(IKC GF-6/SP 5W-30 DEXOS) BULK        |380P|KG |31.03.2026|31.03.2026|         282 |                 0 |                    0 |         282 | |            10,244,778 |                     0 |             1,868,443-|             8,376,335 |VND  |
| 30016888-00030E010|LF(IKC GF-6/SP 5W-30 DEXOS) BULK        |380P|KG |31.03.2026|31.03.2026|         325 |                 0 |                    0 |         325 | |            15,368,600 |             1,048,129 |                     0 |            16,416,729 |VND  |
| 30021326-00031E010|LF(IDEMITSU SN 5W-30 F-S) BULK          |380P|KG |31.03.2026|31.03.2026|         334 |                 0 |                    0 |         334 | |            14,708,024 |                     0 |               548,175-|            14,159,849 |VND  |
| 30041216-5200SE020|IDEMITSU MULTI-VEHICLE ATF PLUS P20L    |380A|ST |31.03.2026|31.03.2026|          27 |                 0 |                    0 |          27 | |            35,225,901 |             4,949,676 |                     0 |            40,175,577 |VND  |
| 30041216-5200SE020|IDEMITSU MULTI-VEHICLE ATF PLUS P20L    |380B|ST |31.03.2026|31.03.2026|          27 |                 0 |                    0 |          27 | |            35,225,901 |             4,949,675 |                     0 |            40,175,576 |VND  |
| 30041216-5200SE020|IDEMITSU MULTI-VEHICLE ATF PLUS P20L    |380P|ST |31.03.2026|31.03.2026|          50 |                 0 |                    0 |          50 | |            65,233,150 |             9,166,068 |                     0 |            74,399,218 |VND  |
| 30041216-7460SE020|IDEMITSU MULTI-VEHICLE ATF PLUS 4Lx6    |380A|ST |31.03.2026|31.03.2026|         252 |                 0 |                    0 |         252 | |           410,455,080 |            22,034,900 |                     0 |           432,489,980 |VND  |
| 30041216-7460SE020|IDEMITSU MULTI-VEHICLE ATF PLUS 4Lx6    |380B|ST |31.03.2026|31.03.2026|         155 |                 0 |                    0 |         155 | |           252,462,450 |            12,693,063 |                     0 |           265,155,513 |VND  |
| 30041216-7460SE020|IDEMITSU MULTI-VEHICLE ATF PLUS 4Lx6    |380C|ST |31.03.2026|31.03.2026|          15 |                 0 |                    0 |          15 | |            24,431,850 |             2,405,266 |                     0 |            26,837,116 |VND  |
| 30041216-7460SE020|IDEMITSU MULTI-VEHICLE ATF PLUS 4Lx6    |380E|ST |31.03.2026|31.03.2026|          13 |                 0 |                    0 |          13 | |            21,174,270 |             2,138,547 |                     0 |            23,312,817 |VND  |
| 30041216-7460SE020|IDEMITSU MULTI-VEHICLE ATF PLUS 4Lx6    |380F|ST |31.03.2026|31.03.2026|          19 |                 0 |                    0 |          19 | |            30,947,010 |             2,275,444 |                     0 |            33,222,454 |VND  |
| 30041216-7460SE020|IDEMITSU MULTI-VEHICLE ATF PLUS 4Lx6    |380P|ST |31.03.2026|31.03.2026|         227 |                 0 |                    0 |         227 | |           369,735,330 |            17,083,324 |                     0 |           386,818,654 |VND  |
| 30041220-7460SE020|IDEMITSU MULTI-VEHICLE CVTF 4LX6        |380A|ST |31.03.2026|31.03.2026|          74 |                 0 |                    0 |          74 | |           133,048,818 |             8,521,367 |                     0 |           141,570,185 |VND  |
| 30041220-7460SE020|IDEMITSU MULTI-VEHICLE CVTF 4LX6        |380B|ST |31.03.2026|31.03.2026|          31 |                 0 |                    0 |          31 | |            55,736,667 |             3,582,892 |                     0 |            59,319,559 |VND  |
| 30041220-7460SE020|IDEMITSU MULTI-VEHICLE CVTF 4LX6        |380C|ST |31.03.2026|31.03.2026|          10 |                 0 |                    0 |          10 | |            17,979,570 |             1,625,951 |                     0 |            19,605,521 |VND  |
| 30041220-7460SE020|IDEMITSU MULTI-VEHICLE CVTF 4LX6        |380E|ST |31.03.2026|31.03.2026|          13 |                 0 |                    0 |          13 | |            23,373,441 |             2,113,736 |                     0 |            25,487,177 |VND  |
| 30041220-7460SE020|IDEMITSU MULTI-VEHICLE CVTF 4LX6        |380F|ST |31.03.2026|31.03.2026|          20 |                 0 |                    0 |          20 | |            35,959,140 |             1,998,092 |                     0 |            37,957,232 |VND  |
| 30041220-7460SE020|IDEMITSU MULTI-VEHICLE CVTF 4LX6        |380P|ST |31.03.2026|31.03.2026|         391 |                 0 |                    0 |         391 | |           703,001,187 |            34,977,363 |                     0 |           737,978,550 |VND  |
| 30095030-71901E020|IDEMITSU 4T SL/MA 10W-30 (VN) 800mLx24  |380A|ST |31.03.2026|31.03.2026|          32 |                 0 |                    0 |          32 | |            24,165,888 |             5,600,117 |                     0 |            29,766,005 |VND  |
| 30095030-71901E020|IDEMITSU 4T SL/MA 10W-30 (VN) 800mLx24  |380C|ST |31.03.2026|31.03.2026|           5 |                 0 |                    0 |           5 | |             3,775,920 |               875,018 |                     0 |             4,650,938 |VND  |
| 30095030-71901E020|IDEMITSU 4T SL/MA 10W-30 (VN) 800mLx24  |380P|ST |31.03.2026|31.03.2026|          44 |                 0 |                    0 |          44 | |            33,228,096 |             7,700,160 |                     0 |            40,928,256 |VND  |
| 30095030-7190VE020|IDEMITSU 4T SL/MA 10W-30 (VN) 800mLx24  |380C|ST |31.03.2026|31.03.2026|           2 |                 0 |                    0 |           2 | |             1,405,664 |               454,309 |                     0 |             1,859,973 |VND  |
| 30095031-71901E020|IDEMITSU 4T SL/MB 10W-30 (VN) 800mLx24  |380A|ST |31.03.2026|31.03.2026|         480 |                 0 |                    0 |         480 | |           385,915,680 |                     0 |            24,727,253-|           361,188,427 |VND  |
| 30095031-71901E020|IDEMITSU 4T SL/MB 10W-30 (VN) 800mLx24  |380B|ST |31.03.2026|31.03.2026|         410 |                 0 |                    0 |         410 | |           329,636,310 |                     0 |            20,093,645-|           309,542,665 |VND  |
| 30095031-71901E020|IDEMITSU 4T SL/MB 10W-30 (VN) 800mLx24  |380C|ST |31.03.2026|31.03.2026|         258 |                 0 |                    0 |         258 | |           207,429,678 |                     0 |            13,150,267-|           194,279,411 |VND  |
